,biomass_site,Plant_ID,Dji
0,646,22,99.30343564
1,656,22,96.71566089
2,663,22,95.16487757
3,675,22,94.66634136
4,683,22,95.26175838
5,692,22,96.92758609
6,696,22,98.69812047
7,699,22,99.60929987
8,705,22,93.90224823
9,713,22,90.0081021
10,723,22,87.13564961
11,730,22,85.38704153
12,743,22,84.83078622
13,751,22,85.48916409
14,755,22,96.48025719
15,759,22,87.33374413
16,764,22,90.42556565
17,767,22,90.29093305
18,773,22,85.16103368
19,777,22,94.25519347
20,781,22,80.84007624
21,786,22,99.10492726
22,786,99,98.80443379
23,791,22,77.61929732
24,795,14,98.9949513
25,795,99,97.29668979
26,799,22,75.63821322
27,806,14,97.96423189
28,806,34,98.76958956
29,806,99,96.84770938
30,811,22,74.99398139
31,813,22,96.32206293
32,814,14,97.97185894
33,814,34,96.49448728
34,814,99,97.44643528
35,819,22,75.71960388
36,820,14,99.03568425
37,820,34,95.26352886
38,820,99,99.09670756
39,822,22,89.10101055
40,827,22,77.81125221
41,829,34,95.10504988
42,832,22,82.50503939
43,835,14,99.15270715
44,835,22,81.10548835
45,835,99,95.77103585
46,837,34,96.04735984
47,841,22,76.68430037
48,844,34,98.01031574
49,845,14,94.89538601
50,845,22,85.47498621
51,845,99,91.98262737
52,849,22,71.84808148
53,854,14,91.58178146
54,854,22,90.78077788
55,854,34,97.46938073
56,854,99,89.20572625
57,859,22,68.19323188
58,863,14,89.30451399
59,863,22,96.86022396
60,863,34,92.96682654
61,863,99,87.5241363
62,867,22,65.91522879
63,871,22,98.27791757
64,873,14,88.14891762
65,873,34,89.37713552
66,873,99,87.01226313
67,878,22,65.16949051
68,880,22,90.06219174
69,881,14,88.14593431
70,881,34,86.84734234
71,881,99,87.66598539
72,887,22,65.99661164
73,887,99,98.03565298
74,888,2,98.00573101
75,888,14,89.31199668
76,888,34,85.46470027
77,888,99,89.48129696
78,890,22,82.22468375
79,894,14,96.13236859
80,894,22,68.32630323
81,894,99,92.11652694
82,896,2,96.07398373
83,896,14,91.61665174
84,896,34,85.27632691
85,896,99,92.40970699
86,899,22,75.02552393
87,902,14,90.60403476
88,902,22,72.03102536
89,902,99,86.99325448
90,904,2,95.21052448
91,904,14,94.93648918
92,904,34,86.29272074
93,904,99,96.29887131
94,906,22,68.57991539
95,911,2,95.43813542
96,911,14,99.23493846
97,911,34,88.49944554
98,912,14,85.89478602
99,912,22,76.96051195
100,912,34,94.84051406
101,912,99,82.77889016
102,916,22,63.11771995
103,920,2,96.71279187
104,920,34,91.74270459
105,921,14,82.20253406
106,921,22,82.79045115
107,921,34,89.04425886
108,921,99,79.66414778
109,926,22,58.90078311
110,928,2,99.05713257
111,928,34,96.00958405
112,929,14,79.64262357
113,929,22,89.46934274
114,929,34,84.05604295
115,929,99,77.7669747
116,934,22,56.22690542
117,934,77,98.39501801
118,937,22,93.13476022
119,940,2,95.93082991
120,940,14,78.33849814
121,940,22,96.69241629
122,940,34,80.09020772
123,940,99,77.17685624
124,943,22,55.3328572
125,943,77,97.31682489
126,943,99,97.65530291
127,947,22,84.42412343
128,948,2,91.73705177
129,948,14,78.32258813
130,948,34,77.24712717
131,948,99,77.89976877
132,953,14,95.16511733
133,953,22,56.27047454
134,953,77,97.27802372
135,953,99,90.57489755
136,955,2,88.50702923
137,955,14,79.6445292
138,955,34,75.67787977
139,955,99,79.95463617
140,956,22,76.07348407
141,960,14,88.36197609
142,960,22,59.01405803
143,960,77,98.3262039
144,960,99,84.08857847
145,962,2,86.36426406
146,962,14,82.17472666
147,962,34,75.445198
148,962,99,83.16681443
149,965,22,68.21383988
150,969,14,82.31301953
151,969,22,63.25339162
152,969,34,94.33538363
153,969,99,78.44156358
154,970,2,85.39461968
155,970,14,85.88808001
156,970,34,76.59950439
157,970,99,87.50019786
158,972,22,60.9727678
159,972,77,98.74411103
160,977,14,77.08398479
161,977,22,68.7896904
162,977,34,87.27393212
163,977,99,73.7238126
164,978,2,85.62905455
165,978,14,90.59548449
166,978,34,79.05575141
167,978,99,92.74999396
168,982,22,54.74839092
169,982,77,94.43996086
170,986,2,87.03945948
171,986,14,96.09696691
172,986,34,82.65978209
173,986,99,98.71221225
174,987,2,99.1444203
175,987,14,72.95341673
176,987,22,75.24753384
177,987,34,80.94608172
178,987,99,70.21392438
179,992,22,49.82737267
180,992,77,91.06648935
181,993,22,98.24030349
182,994,2,89.62456397
183,994,34,87.3564289
184,995,2,92.85008337
185,995,14,70.03422164
186,995,22,82.51354356
187,995,34,75.40668504
188,995,99,68.03043406
189,1000,22,46.60311224
190,1000,77,88.71351986
